Wow!	वाह!
He took advantage of every opportunity he had.	उसने किसी भी मौके को हाथ से जाने नहीं दिया।
I don't want there to be any misunderstanding.	मैं नहीं चाहता कि कोई भी ग़लतफ़ैमी हो।
I had a fight with my older brother yesterday.	मेरा कल मेरे भाई के साथ झगड़ा हुआ था।
I had a fight with my older brother yesterday.	मेरी कल मेरे भाई के साथ लड़ाई हुई थी।
I have tried innumerable times to contact him.	मैं बहुत बार उससे सम्पर्क करने की कोशिश कर चुकी हूँ।
I remember my mother teaching me the alphabet.	मुझे याद है कि मेरी माँ ने मुझे क-ख-ग-ध सिखाए थे।
I wonder where to hang the picture he gave me.	सोच रही हूँ उसकी दी हुई तस्वीर को कहाँ टाँगा जाए।
I wrote down his name so I wouldn't forget it.	मैंने उसका नाम लिख लिया जिससे कि मैं उसे भूल न जाऊँ।
I've been given until tomorrow to finish this.	मुझे ये कल तक खतम करना है ।
My father is my biggest source of inspiration.	मेरे पिताजी मेरे सबसे बड़े प्रेरणा के स्रोत हैं।
Please don't hesitate to ask me any questions.	मुझसे कोई भी सवाल पूछने में न हिचकिचाएँ।
Please tell me your name and telephone number.	मुझे अपना नाम और फ़ोन नम्बर बताईये।
She is busy at present and can't speak to you.	वे अभी व्यस्थ हैं और आपसे बात नहीं कर सकतीं हैं।
She will give her picture to whoever wants it.	वह अपनी तस्वीर जो भी चाहे उसको दे देगी।
Take back what you said about me being stingy.	जो तुमने मेरे कंजूस होने के बारे में कहा था, उस बात को वापस लो।
That can't be Mary. She's in the hospital now.	हो नहीं सकता कि वह मेरी हो, क्योंकि मेरी अभी हस्पताल में है।
The drug smuggler was arrested at the airport.	दवा तस्कर हवाई अड्डे पर गिरफ्तार किया गया था।
The instant he saw the policeman, he ran away.	वह पुलिस अफ़सर को देखते ही भाग गया।
There is a limit to how much one can tolerate.	बर्दाश्त की भी हद होती है।
They were about to leave when I arrived there.	जब मैं वहाँ पहुँचा, वे जाने वाले थे।
This car has been used for the past ten years.	इस गाड़ी का पिछले दस साल से इस्तेमाल हो रहा है।
What time do you usually get up every morning?	तुम आमतौर पर रोज़ सुबह कितने बजे उठते हो?
You are fortunate to have such loving parents.	तुम नसीब वालो हो जिसके इतना प्यार करने वाले माँ-बाप हैं।
You had better not go out in this bad weather.	अच्छा होगा कि तुम इस बुरे मौसम में बाहर न जाओ।
You make mistakes if you do things in a hurry.	जल्दबाज़ी में काम करोगे तो ग़लतियाँ तो होंगीं ही।
You should write it down before you forget it.	तुम्हें इसे लिख लेना चाहिए, जिससे पहले कि तुम भूल जाओ।
You'll be all right again in a couple of days.	तुम दो तीन दिनों में फिरसे ठीक हो जाओगे।
You'll be all right again in a couple of days.	तुम दो तीन दिनों में फिरसे ठीक हो जाओगी।
You'll get a lot of presents on your birthday.	तुम्हें अपने जन्मदिन पर बहुत सारे तोहफ़े मिलेंगे।
Almost all Japanese boys like to play baseball.	लगभग सारे जापानी लड़कों को बास्केटबॉल खेलना अच्छा लगता है।
Can you tell me when to switch the machine off?	क्या मुझे बता सकते हो कि मशीन को कब बंद करना है?
Don't forget to return the book to the library.	उस किताब को पुस्तकालय को लौटाना मत भूलना।
He became a member of this club five years ago.	वह इस क्लब का सदस्य पाँच साल पहले बना था।
He will commit suicide if he can't see his son.	वह अपने बेटे को नहीं देख पाया तो वह आत्महत्या कर लेगा।
How can you tell good English from bad English?	तुम अच्छी और बुरी अंग्रेज़ी में कैसे अंतर कर सकते हो?
I came upon an old friend of mine on the train.	मेरी ट्रेन में एक पुराने दोस्त से मुलाक़ात हुई।
I have lots of work to clear up by the weekend.	मुझे इस हफ़्ते बहुत सारा काम कर के खतम करना है।
I have no idea to what extent I can trust them.	मुझे नहीं पता मैं उनपर कितना भरोसा कर सकता हूँ।
I have no idea to what extent I can trust them.	मुझे नहीं पता मैं उनपर किस हद तक भरोसा कर सकता हूँ।
I saw a girl whose hair came down to her waist.	मैंने एक लड़की को देखा जिसके बाल उसकी कमर तक आते थे।
I saw him go into the toilet a few minutes ago.	मैंने उसे एक-दो मिनट पहले टॉयलेट में जाते हुए देखा था।
India gained independence from Britain in 1947.	भारत को ब्रिटेन से १९४७ में स्वतंत्रता प्राप्त हुई।
Last week five students were absent from class.	पिछले हफ़्ते क्लास से पाँच विद्यार्थी अनुपस्थित थे।
She reproached me for not answering the letter.	उसने मुझे चिट्ठी का जवाब न देने के लिए डाँटा।
Something must have happened to him on the way.	उसके साथ रास्ते पर कुछ हुआ होगा।
Sometimes she tried talking to him about India.	वह कभी-कभी उससे भारत की बात करने की कोशिश किया करती थी।
The reason which he gave is hard to understand.	उसके दिए गए कारण को समझना मुश्किल है।
The station is located between these two towns.	स्टेशन इन दो नगरों के बीच स्थित है।
There are lots of things for us to think about.	हमारे पास सोचने के लिए बहुत सारी बातें हैं।
These grapes are so sour that I can't eat them.	ये अंगूर इतने खट्टे हैं कि मुझसे खाए नहीं जा रहे।
They booted him out of school for not studying.	कयोंकि वह पढ़ाई नहीं करता था, उसे स्कूल से निकाल दिया गया।
Thousands of foreigners visit Japan every year.	हज़ारों विदेशी हर साल जापान जाते हैं।
Tom wants to know why you didn't call him back.	टॉम पूछ रहा है कि तुमने उसे कॉल बैक क्यों नहीं किया।
We had no customers, so we shut the shop early.	हमारे पास ग्राहक नहीं थे, तो हमने दुकान जल्दी बंद करदी।
We have some new products we'd like you to see.	आपको कुछ नए प्रॉडक्ट्स दिखाना चाहते हैं।
We will have to call on our friends to help us.	हमें अपने दोस्तों से मदद माँगनी पड़ेगी।
When did America become independent of England?	अम्रीका को इंग्लैंड से आज़ादी कब मिली?
While I was in Taiwan, I made friends with him.	मैं जब ताईवान में था तब उसके साथ दोस्त बन गया।
Would you mind speaking a little softer please?	आवाज़ थोड़ी धीमी कर सकते हो क्या?
"Will they go on strike again?" "I'm afraid so."	"वे फिरसे हड़ताल कर सकते हैं क्या?" "लगता तो ऐसा ही है।"
An old man was resting in the shade of the tree.	एक बूढ़ा आदमी पेड़ की छाया में आराम कर रहा था।
Could you please speak a little bit more slowly?	आप थोड़ा धीरे बोल सकते हैं क्या?
Do you think he will be elected president again?	क्या तुम्हे लगता है वह फिरसे प्रेसीडेंट चुना जाएगा?
Frankly speaking, I don't want to work with him.	खुलकर बोलूँ तो मैं उसके साथ काम नहीं करना चाहता।
He is a nice man, except that he talks too much.	वह आदमी तो भला है, पर बात बहुत ज़्यादा करता है।
He left his parents when he was eight years old.	वह आठ साल का था जब उसने अपने माता-पिता को छोड़ दिया।
He reminded his wife to wake him up at 7:00 a.m.	उसने अपनी पत्नी को उसे सुबह सात बजे उठाने की बात का याद दिलाया।
He sent out the parcel the day before yesterday.	उसने पार्सल को परसों भेजा था।
He was respected both as a teacher and as a man.	उसको दोनो एक अध्यापक और एक इनसान के रूप में सम्मान मिला।
How long did it take you to translate this book?	तुम्हे इस किताब का अनुवाद करने में कितना समय लगा?
I became friends with him while I was in Taiwan.	तैवान में रहते समय मेरी उससे दोस्ती हुई।
I found it impossible to do the work in one day.	मुझे एक दिन में काम खतम करना नामुमकिन लगा।
I have never come across such a stubborn person.	इतने अड़ियल व्यक्ति से मेरी कभी भी मुलाकात नहीं हुई है।
I have to learn many words and phrases by heart.	मुझे बहुत सारे शब्दों और वाक्यांशों को रटना है।
I thought that he had already finished the work.	मुझे लगा कि वह काम खतम कर चुका था।
I was ill at ease because I didn't speak French.	मैं परेशान था क्योंकि मुझे फ़्रांसीसी बोलनी नहीं आती थी।
I was searching for something that didn't exist.	मैं एक ऐसी चीज़ ढूँढ रहा था जिसका अस्तित्व कभी था ही नहीं।
I was surprised at the news of his sudden death.	मैं उसकी अचानक मौत की खबर से चौंक गया।
It is necessary for you to go there immediately.	तुम्हारे लिए वहाँ तुरन्त जाना अनिवार्य है।
It is necessary for you to see a doctor at once.	तुम्हें जल्द-से-जल्द डॉक्टर के पास जाने की ज़रूरत है।
It makes no difference whether you agree or not.	तुम मानो या न मानो, उससे कोई फ़र्क नहीं पड़ता।
May I talk with you in private about the matter?	मैं तुम्हारे साथ इस बारे में अकेले में बात कर सकता हूँ क्या?
She had plenty of acquaintances, but no friends.	उसकी जान-पहचान में तो बहुत लोग थे पर दोस्त कोई भी नहीं थे।
The doctor told her that she should take a rest.	डॉक्टर ने उससे कहा कि उसे आराम लेना चाहिए।
They are in favor of the reform of the tax laws.	वे टैक्स सुधार क़ानून के पक्ष में हैं।
This elevator does not go above the sixth floor.	यह लिफ़्ट छटी मंज़िल तक ही जाती है।
This machine is superior in quality to that one.	यह मशीन उस मशीन से बेहतर है।
Tom had fifty dollars in his pocket at the time.	टॉम की जेब में उस समय पचास डॉलर थें।
Tomorrow is my birthday and I will be seventeen.	कल मेरा जन्मदिन है, और मैं सत्रह साल का हो जाऊँगा।
Tomorrow is my birthday and I will be seventeen.	कल मेरा जन्मदिन है, और मैं सत्रह साल की हो जाऊँगी।
When she was reading the letter, she looked sad.	वह चिट्ठी पढ़ने के समय दुखी लग रही थी।
Why do you think soccer isn't popular in the US?	तुम्हारे खयाल से अम्रीका में फ़ुटबॉल लोकप्रिय क्यों नहीं है?
Will you exchange this sweater for a larger one?	आप यह स्वेटर बड़े नाप वाले के लिए बदल देंगे क्या?
Write back to me as soon as you get this letter.	तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।
Do you think we should import rice from the U.S.?	क्या आपको लगता है कि हमे अम्रीका से चावल का आयात करना चाहिए?
He contracted malaria while living in the jungle.	जंगल में रहते समय उसे मलेरिया हो गया।
He left all his property to his wife in his will.	उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।
He made such a long speech that we all got bored.	उसने इतना लम्बा भाषण दिया कि हम सब को बोर कर डाला।
I am of the opinion that he will never come back.	मेरे ख़याल से वह कभी भी वापस नहीं आएगा।
I slept all day yesterday, because it was Sunday.	कल रविवार था, तो मैं पूरे दिन सोते रहा।
I will tell him about it when he comes next time.	जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगा।
I will tell him about it when he comes next time.	जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगी।
If possible, I'd like to travel around the world.	अगर हो सके तो मैं विष्व यात्रा पर जाना चाहूँगा।
If the coffee is too strong, add some more water.	अगर कॉफ़ी ज़्यादा कड़वी है तो थोड़ा और पानी डाललो।
London is one of the largest cities in the world.	लंदन दुनिया के सबसे बड़े शहरों में से एक है।
London, the capital of England, is on the Thames.	इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।
The money should be distributed to those in need.	यह पैसा ज़रूरतमंदों में बाँट देना चाहिए।
There is no hurry about returning the book to me.	मुझे वह किताब लौटाने में जल्द-बाज़ी करने की ज़रूरत नहीं है।
There weren't any children in the park yesterday.	कल पार्क में एक भी बच्चा नहीं था।
They wanted to get married as soon as they could.	वे जल्द-से-जल्द शादी करना चाहते थे।
They won't believe me even if I swear it is true.	वे मेरा विश्वास नहीं करेंगे चाहे मैं कसम भी क्यों न खालूँ।
We cannot decide whether to go to college or not.	हम यह फ़ैसला नहीं ले पा रहें हैं कि कॉलेज जाएं या न जाएं।
You have the freedom to travel wherever you like.	तुम्हारे पास जहाँ भी जाने की मर्ज़ी हो वहाँ जाने की आज़ादी है।
Father objected to my going to the mountain alone.	पिताजी मेरे पहाड़ पर अकेले जाने से राज़ी नहीं थे।
He is confident that he will pass the examination.	उसको यकीन है कि वह परीक्षा में पास हो जाएगा।
He jumped into water without removing his clothes.	उसने कपड़े उतारे बिना ही पानी में छलाँग लगादी।
I do not know for certain what she is going to do.	मुझे ठीक से नहीं पता वह क्या करने वाली है।
I have a gut feeling that Tom won't pass the test.	मुझे नहीं लगता कि टॉम परीक्षा में उत्तीर्ण होगा।
I have a gut feeling that Tom won't pass the test.	मुझे नहीं लगता कि टॉम टेस्ट में पास होगा।
I have nothing to say with regard to that problem.	मुझे इस विषय पर कुछ नहीं कहना है।
I have nothing to say with regard to that problem.	मुझे इस समस्या के बारे में कुछ नहीं कहना है।
I know her by sight, but I've never spoken to her.	मैं उसे पहचानता हूँ पर मैंने उससे कभी बात नहीं करी है।
I learned to play guitar when I was ten years old.	मैंने दस साल की उम्र में ही गिटार बजाना सीख लिया था।
I spent the whole afternoon chatting with friends.	मैंने दोपहरभर अपने दोस्तों से गप मारी।
I stayed at home all day instead of going to work.	मैं काम पर जाने के बजाय सारे दिन घर पर रहा।
I think there has been some misunderstanding here.	मुझे लगता है कि यहाँ कुछ ग़लतफ़ैमी हुई है।
I'm not saying that your answers are always wrong.	मैं यह नहीं कह रही हूँ कि तुम्हारे उत्तर हमेशा ग़लत होते हैं।
India is the seventh largest country in the world.	भारत विश्व में सातवाँ सबसे बड़ा देश है।
It was so noisy that I couldn't make myself heard.	इतना शोर था कि किसी को भी मेरी आवाज़ सुनाई नहीं दे रही थी।
It's an absolute waste of time to wait any longer.	और इंतेज़ार करना समय की सरासर बर्बादी होगी।
Many people encouraged me to fulfill my ambitions.	अपनी अभिलाषाओं को पूरी करने के लिए मुझे बहुत से लोगों ने बढ़ावा दिया।
My mother is constantly forgetting people's names.	मेरी माँ अक्सर लोगों के नाम भूलती रहती है।
She is very careful, so she seldom makes mistakes.	वह बहुत ध्यानपूर्वक है, इसलिए बहुत कम ग़लतियाँ करती है।
The old man sat in the chair with his eyes closed.	वह बूढ़ा आदमी आँखें बंद करके कुरसी में बैठा था।
This theory is too difficult for me to comprehend.	यह सिद्धांत मेरे समझने से बाहर है।
To my surprise, she could not answer the question.	मैं हैरान था कि वह सवाल का जवाब नहीं दे पाई।
What number should I call in case of an emergency?	आपातकालीन स्तिथि में मुझे क्या नम्बर मिलाना चाहिए?
I advise you not to borrow money from your friends.	मेरी तुम्हारे लिए यह सलाह है कि अपने दोस्तों से पैसे उधार मत लो।
I don't like the polluted atmosphere of big cities.	मुझे बड़े शहरों का प्रदूषित वातावरण अच्छा नहीं लगता।
I go to the office by bicycle except on rainy days.	उन दिनों के सिवाय जब बारिश हो रही होती है, मैं साईकल चलाकर काम पर जाता हूँ।
I had hardly reached the school when the bell rang.	मैं बस स्कूल पहुँचा ही था कि घंटी बज गई।
I want to clean the house before my parents return.	मैं अपने पापा-मम्मी के वापस आने से पहले घर साफ़ करना चाहता हूँ।
I was kept waiting for a long time at the hospital.	अस्पताल में मुझसे बहुत देर तक इन्तज़ार करवाया गया।
International trade is vital for healthy economies.	अंतर्राष्ट्रीय व्यापार मज़बूत अर्थव्यवस्था के लिए आवश्यक है।
It is said that he is the richest man in the world.	कहा जाता है कि वह दुनिया में सबसे अमीर आदमी है।
It's already eleven o'clock. I must be leaving now.	ग्यारह बज चुके हैं। मुझे चलना चाहिए।
The bat was stolen yesterday, along with the balls.	बैट और बॉल दोनो कल एकसाथ चोरी हो गए।
The people of London are very proud of this bridge.	लंदन के लोगों को इस ब्रिज पर गर्व है।
This is the house where I lived when I was a child.	यह वह घर है जिसमें मैं रहता था जब मैं छोटा था।
We are responsible for your protection from now on.	अबसे आपकी हिफ़ाज़त के लिए हम ज़िम्मेदार हैं।
We arrived at the station as the train was leaving.	हम स्टेशन पर तब पहुँचे जब ट्रेन चल पड़ी थी।
We must not speak ill of others behind their backs.	हमे लोगों की पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।
We will have to take off our shoes before going in.	हमे अंदर जाने से पहले जूते उतारने होंगे।
When he arrives in Tokyo, I'll call you right away.	उसके टोक्यो आते ही मैं तुम्हें तुरंत फ़ोन करूँगी।
Why do you talk about him as if he were an old man?	तुम उसके बारे में ऐसे बात क्यों करते हो जैसे कि वह बूढ़ा आदमी हो?
After some hesitation, he laid the book on the desk.	थोड़ी हिचकिचाहट के बाद, उसने किताब को मेज़ पर रखा।
I will get through with my homework before he comes.	मैं उसके आने से पहले अपना होमवर्क खतम कर लूँगा।
I will never forget your kindness so long as I live.	मैं आपकी अच्छाई को कभी नहीं भूलूँगा।
Look carefully. I'm going to show you how it's done.	ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।
A selfish man thinks of nothing but his own feelings.	मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।
A selfish man thinks of nothing but his own feelings.	मतलबी इनसान केवल अपने बारे में ही सोचता है।
All the flowers in the garden died for lack of water.	बाग के सारे फूल पानी की कमी की वजह से मर गए।
I ran into an old friend of mine outside the station.	मुझे स्टेशन के बाहर अपना एक पुराना दोस्त मिल गया।
I spent hours looking for the key that I had dropped.	मैं घंटों तक उस चाबी को ढूँढता रहा जिसे मैंने गिरा दिया था।
I want this photograph developed as soon as possible.	मुझे यह तस्वीर जल्द-से-जल्द बनवानी है।
I'll arrange for someone to pick you up at your home.	मैं किसी को तुम्हें घर से लेने के लिए भिजवादूँगा।
It is dangerous to ride a motorbike without a helmet.	हेलमेट पहने बिना मोटरसाईकल चलाना बहुत खतरनाक होता है।
It may not be necessary for us to go to that meeting.	शायद हमें उस मीटिंग में जाने की ज़रूरत नहीं पड़ेगी।
It would be better for you not to ask him for advice.	बहतर होगा कि तुम उससे सलाह न माँगो।
My hands are dirty. I have been repairing my bicycle.	मेरे हाथ गंदे हैं। मैं अपनी साईकल ठीक कर रहा था।
She gave me a large room while I stayed at her house.	जब मैं उसके घर पर रही, उसने मुझे रहने के लिए एक बड़ा सा कमरा दिया।
The government started a program to promote industry.	सरकार ने उद्योग बढ़ाने के लिए कार्यक्रम शुरू किया।
The majority of the committee voted against the bill.	समिति के अधिकांश सदस्यों ने बिल के पारित होने के खिलाफ़ मत दिया।
The other day her mother passed away in the hospital.	कुछ दिन पहले उसकी माँ हस्पताल में चल बसीं।
The population of China is larger than that of India.	चीन की जनसंख्या भारत की से बड़ी है।
The speed of the spread of AIDS is horrifyingly fast.	एड्स के फैलाव की तेज़ गति बहुत भयानक है।
When you can't do what you want, you do what you can.	जब वह नहीं कर सकते जो करना चाह्ते हो, तो वह करो जो कर सकते हो।
French is spoken in France and in some parts of Italy.	फ्रेंच फ्रांस में अौर इटली के कुछ हिस्सो में बोली जाती है।
I got up early, so that I could catch the first train.	मैं जल्दी उठा था, क्योंकि मुझे पहली ट्रेन पकड़नी थी।
I was caught in a shower and was drenched to the skin.	मैं बारिश में फंस गया था और तर-तर भीग गया।
In Japan there aren't any lakes bigger than Lake Biwa.	जापान में बीवा झील से बड़ी और कोई झील नहीं है।
In case I can't come, I'll give you a call beforehand.	अगर मैं नहीं आ पाया तो तुम्हें पहले फ़ोन करके बतादूँगा।
Make sure to turn off all the lights before going out.	बहार जाने से पहले सारी बत्तियाँ बंद करना मत भूलना।
Maybe I am unhappy, but I don't intend to kill myself.	हाँ शायद मैं दुखी हूँ, पर मुझे अपनी जान लेने का इरादा नहीं है।
Seen from the sky, the river looked like a huge snake.	आसमान से वह नदी एक विशाल सांप की तरह दिख रही थी।
The king ordered that the prisoner should be set free.	राजा ने हुक़्म दिया कि क़ैदी को रिहा कर दिया जाए।
The patient was lying in the bed with his eyes closed.	मरीज़ आँखें बंद कर बिस्टर पर लेटा हुआ था।
The police arrested the man who had murdered the girl.	पुलिस ने उस लड़की के क़ातिल को हरासत में ले लिया।
We are supposed to take off our shoes at the entrance.	हमे अंदर जाने से पहले जूते उतारने होंगे।
We communicate with each other by telephone every day.	हम रोज़ एक-दूसरे से फ़ोन पर बात करते हैं।
We have decided on leaving this town tomorrow morning.	हमने इस नगर को कल सुबह छोड़ने का इरादा किया है।
With a little more patience, you would have succeeded.	अगर तुममें थोड़ा और सब्र होता तो तुम कामयाब हो जाते।
You had better chain up the dog so that he won't bite.	तुम्हें कुत्ते को बांध देना चाहिए जिससे कि वह किसी को काट न ले।
You should not speak ill of others behind their backs.	तुमको लोगों कि पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।
You'll have to work hard if you want to pass the exam.	अगर तुम्हे परीक्षा पास करनी है तो मन लगाकर काम करना होगा।
A committee has been set up to investigate the problem.	इस समस्या की तहकीकात करने के लिए एक समिति स्थापित करी गई है।
According to TV news, there was a plane crash in India.	टीवी समाचार के मुताबिक, भारत में विमान दुर्घटना हुई है।
As the saying goes, "Nothing ventured, nothing gained."	एक कहावत है, "कुछ पाने के लिए कुछ खोना पड़ता है"।
Can you tell the difference between these two pictures?	तुम इन दो तस्वीरों में अंतर बता सकते हो?
Don't be afraid to make mistakes when speaking English.	अंग्रेज़ी बोलते समय गलतियों का डर नहीं होना चाहिए।
I can't swallow these tablets without a drink of water.	मैं पानी के बिना इन गोलियों को निगल नहीं सकती।
In order to stay awake I may have to drink more coffee.	मुझे जगे रहने के लिए शायद और कॉफ़ी पीनी पड़ेगी।
The Taj Mahal is one of the seven wonders of the world.	ताज महल विश्व के सात आश्चर्यों में से एक है।
The number of fish caught in this river was very small.	इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।
The voyage from England to India used to take 6 months.	इंग्लैड से भारत तक का सफ़र छः महीनों का हुआ करता था।
There is no point in studying if you are feeling tired.	अगर थक गए हो तो पढ़ाई करने से कोई फ़ायदा नहीं है।
They obtained a yield of 8 percent on their investment.	उनके इनवेस्टमेंट पर ८ प्रतिशत का फ़ायदा हुआ।
This car has enough power to go up the mountain easily.	गाड़ी में आसानी से पहाड़ चढ़ने लायक जान है।
We ought to do our best not to pollute our environment.	हमे पर्यावरण के प्रदूषण को रोकने का प्रयास करना चाहिए।
You can borrow these books from the library for a week.	आप ये किताबें पुस्तकालय से एक हफ़्ते के लिए ले सकते हैं।
Your feet are swollen because your shoes are too small.	तुम्हारे पैर सूज गए हैं क्योंकि तुम्हारे जूते बहुत छोटे हैं।
A mother is responsible for the conduct of her children.	एक माँ अपने बच्चों के बर्ताव के लिए ज़िम्मेदार होती है।
Columbus argued that he could reach India by going west.	कोलम्बस ने सोचा कि वह पश्चिम दिशा में जाकर भारत पहुँच सकता था।
If I had known her address, I would have written to her.	अगर मुझे उसका पता पता होता, तो मैंने उसे चिट्ठी लिखी हुई होती।
In the 1600s, tea was introduced into Europe from India.	१६०० की शतक में चाय को भारत से यूरोप में लाया गया था।
It's been nice talking to you, but I really must go now.	आपसे बात करके खुशी हुई, पर अब मुझे जाना पड़ेगा।
It's hard to say what the weather will be like tomorrow.	कल का मौसम कैसा होगा कहना मुश्किल है।
Last night you forgot to turn off the radio, didn't you?	तुम कल रात रेडियो को बंद करना भूल गए थे ना?
Without a dictionary, it would be hard to study English.	शब्दकोश (डिक्शनरी) के बिना अंग्रेज़ी की पढ़ाई करना बहुत मुश्किल होगा।
You ought not to have spent so much money on your hobby.	तुम्हें अपने शौक पर इतने सारे पैसे खर्च नहीं करने चाहिए थे।
"When will you be back?" "It all depends on the weather."	"कब वापस आओगे?" "यह तो मौसम देख कर पता चलेगा।"
He never takes into account the fact that I am very busy.	वह कभी भी इस बात का खयाल नहीं करता है कि मैं कितना व्यस्थ हूँ।
I can barely afford to buy enough food to feed my family.	अपने परिवार के लिए खाना खरीदना भी मेरे लिए मुश्किल है।
It is essential to have good command of English nowadays.	आजकल अंग्रेज़ी अच्छे से बोलना जानना बहुत ज़रूरी है।
Mumbai is the capital of the Indian state of Maharashtra.	मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।
Parents are responsible for the safety of their children.	मातापिता अपने बच्चों की हिफ़ाज़त के लिए ज़िम्मेदार होते हैं।
Parents are responsible for the safety of their children.	मातापिता अपने बच्चों की सुरक्षा के लिए ज़िम्मेदार होते हैं।
Some of the boys are fishing and the others are swimming.	कुछ लड़के मछलियाँ पकड़ रहे हैं, और बाकी तैर रहे हैं।
That child is only four, but he can already count to 100.	वह बच्चा हालांकि केवल चार साल का ही है, वह अभी से ही सौ तक गिनती कर सकता है।
The reason why you failed is you did not try hard enough.	तुम नाकामयाब इसलिए रहे क्योंकि तुमने पूरी तरह मेहनत नहीं लगाई।
He couldn't sleep because of the noise outside his window.	उसकी खिड़की के बाहर इतना शोर हो रहा था कि वह सो नहीं पा रहा था।
He intends to devote his life to curing the sick in India.	वह अपनी ज़िंदगी को भारत में बीमारों का इलाज करने में समर्पित करना चाहता है।
I have so many clothes I don't know what to wear tomorrow.	मेरे पास इतने सारे कपड़े हैं कि मुझे समझ में नहीं आ रहा है कि कल क्या पहनूँ।
I tried to give her some money, but she wouldn't take any.	मैंने उसको पैसे देने की कोशिश करी पर उसने इनकार कर दिया।
It makes no difference to me whether you are rich or poor.	तुम अमीर हो या ग़रीब, इससे मुझे कोई फ़र्क नहीं पड़ता।
Japan is one of the greatest economic powers in the world.	जापान दुनिया के सबसे ताकतशाली अर्थतंत्रों में से एक है।
On the fifteenth of August, thousands of people fly kites.	पंद्रह अगस्त के दिन हज़ारों लोग पतंग उड़ातें हैं।
There is nothing on earth that is not affected by the sun.	विष्व में ऐसी कोई भी वस्तु नहीं है जिसपर सूर्य का प्रभाव न पड़ता हो।
There is nothing on earth that is not affected by the sun.	दुनिया में ऐसी कोई भी चीज़ नहीं है जिसपर सूरज का असर न पड़ता हो।
We must hurry if we want to arrive at the station on time.	अगर हमको स्टेशन समय पर पहुँचना है तो हमको जल्दी करनी होगी।
According to my calculation, she should be in India by now.	मेरे हिसाब के मुताबिक उसको अभी तक भारत पहुँच जाना चाहिए था।
Although they are twins, they have few interests in common.	वे हालांकि जुड़वा हैं, उनके शोक एक-दूसरे से बहुत अलग हैं।
Cross off the names of the people who have paid their dues.	जो पैसे भर चुकें हैं, उनके नाम काट दो।
He deliberately ignored me when I passed him in the street.	जब मैं सड़क पर उसके सामने से गया, उसने जानबूझकर मुझे पहचाना नहीं।
He promised me that he would be more careful in the future.	उसने मुझसे वादा किया था कि वह आगे से ज़्यादा सावधान रहेगा।
Seeing that movie is something like taking a trip to India.	उस फ़िल्म को देखना भारत के सफ़र पर जाने जैसा है।
The authorities have been hiding the facts from the public.	अधिकारियों ने सच्चाई को आम जनता से छिपा कर रखा हुआ है।
The instant he opened the door, he smelt something burning.	उसे दरवाज़ा खोलते ही किसी चीज़ के जलने की बदबू सुँघाई दी।
What is the difference between imitation and real diamonds?	असली और नकली हीरों में क्या फ़र्क होता है?
By the time the sun sets, we will arrive at the destination.	हम सूरज के डूबने से पहले अपनी मंजिल तक पहुँच जाएँगे।
Covered with dust, the doll stood in the corner of the room.	वह धूल से लिपटी हुई गुड़िया कमरे के कोने में खड़ी हुई थी।
